Discipline,Effect,Description,Critique,Link,doi,Notes,Citations,N critique
Cognitive Psychology,Motor priming,"Motor priming refers to the phenomenon where a previous motor action influences the subsequent execution of a motor task. Scientific findings have shown that motor priming can have a moderate to large effect on task performance. It's also important to note that the effect size of motor priming can depend on the specific task being used, the population being studied, and the experimental design",Stoykov and Madhavan 2015,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4270918/,,"Review, n=NA,","148 (GS, March 2023)",
Cognitive Psychology,Associative priming,"Involves using two stimuli that are normally associated with one another. For example, “apple” and “tree” are two words that can be linked with one another in memory, so if only one of the words appears, it can prime the subject to respond more rapidly when the second word appears",Lucas 2000,https://link.springer.com/content/pdf/10.3758/BF03212999.pdf,10.3758/BF03212999.pdf,"k=26 studies (meta analysis),","550 (GS, January 2023)",
Cognitive Psychology,Associative priming,"Involves using two stimuli that are normally associated with one another. For example, “apple” and “tree” are two words that can be linked with one another in memory, so if only one of the words appears, it can prime the subject to respond more rapidly when the second word appears",Perea and Rosa 2002,https://link.springer.com/article/10.1007/s00426-002-0086-5,10.1007/s00426-002-0086-5,"n= 160 in experiment 1, n=160 in experiment 2, n= 21 in experiment 3, n=39 in experiment 4,","267 (GS, January 2023)",160 & 160 & 21 & 39
Cognitive Psychology,Repetition priming,classification or identification of stimulus is improved when the same stimulus has been presented previously,Huang et al. 2004,https://link.springer.com/content/pdf/10.3758/BF03195816.pdf,10.3758/BF03195816.pdf,"Experiment 1: n= 14, Experiment 2: n=23, Experiment 3: n=14, Experiment 4: n=14, citations=265 (GS, March 2023].",,14 & 23 & 14 & 14
Cognitive Psychology,Repetition priming,classification or identification of stimulus is improved when the same stimulus has been presented previously,Kristjansson & Campana 2010,https://link.springer.com/article/10.3758/APP.72.1.5,10.3758/APP.72.1.5,"Theoretical paper, n=NA, citations= 499, (GS, March 2023].",,
Cognitive Psychology,Repetition priming,classification or identification of stimulus is improved when the same stimulus has been presented previously,Stark and McClelland 2000,https://web.stanford.edu/~jlmcc/papers/PublicationFiles/2000_Pres_Articles_Add_to_OnlinePubs/StarkMcClelland00RepetitionPrimingOfWords.pdf,,"Experiment 1: n=27, Experiment 2: n=24, Experiment 3: n=52, Experiment 4: n=60, Experiment 5: n= 60,","145 (GS, March 2023)",27 & 24 & 52 & 60 & 60
Cognitive Psychology,Semantic priming,a facilitation in responding to target words such as doctor when preceded by a semantically related prime such as nurse than a semantically unrelated prime such as bread,Dyson et al. 2021,https://www.tandfonline.com/doi/full/10.1080/23273798.2020.1849749,10.1080/23273798.2020.1849749,"n= 20 people with aphasia and 41 neurotypical adults,","6 (GS, March 2023)",20
Cognitive Psychology,Semantic priming,a facilitation in responding to target words such as doctor when preceded by a semantically related prime such as nurse than a semantically unrelated prime such as bread,Lucas 2000,https://link.springer.com/content/pdf/10.3758/BF03212999.pdf,10.3758/BF03212999.pdf,"k=26 studies (meta analysis),","550 (GS, January 2023)",
Cognitive Psychology,Masked priming,A visual prime is presented followed by a visual mask at the same position or surrounding the same position,Van den Bussche et al. 2009,https://psycnet.apa.org/record/2009-05290-008,,"meta analysis k=747 studies,","464 (GS, January 2023)",
Cognitive Psychology,Flanker task,The Flanker task is a measure of inhibition of prepotent responses. Response times to target stimuli flanked by irrelevant stimuli of the opposite response set (incongruent) are significantly more impaired than when they are flanked by irrelevant stimuli of the same response set (congruent,Miller 1991,https://link.springer.com/article/10.3758/BF03214311,10.3758/BF03214311,"Experiment 1: n= 36, Experiment 2: n=42,  Experiment 3: n= 24, Experiment 4: n= 32, Experiment 5: n=32, Experiment 6, n=32,","370 (GS, August 2022)",36 & 42 & 24 & 32 & 32 & 32
Cognitive Psychology,Mere Exposure Effect,Participants who are repeatedly exposed to the same stimuli rate them more positively than stimuli that have not been presented before,Bornstein 1989,https://psycnet.apa.org/record/1990-00422-001,,"Meta-analysis, total N = 33047,","2944 (GS, February 2022)",33047
Cognitive Psychology,Cocktail Party Effect,Participants hear their own name being presented in the irrelevant message during a dichotic listening task,Conway et al. 2001,https://link.springer.com/article/10.3758/BF03196169,10.3758/BF03196169,"n=40,","1195 (GS, February 2022)",40
Cognitive Psychology,Cocktail Party Effect,Participants hear their own name being presented in the irrelevant message during a dichotic listening task,Röer and Cowan 2021,https://psycnet.apa.org/record/2020-62831-001,,"n=80,","3 (GS, February 2022)",80
Cognitive Psychology,Cocktail Party Effect,Participants hear their own name being presented in the irrelevant message during a dichotic listening task,Wood and Cowan 1995,https://psycnet.apa.org/doiLanding?doi=10.1037%2F0278-7393.21.1.255,,"Replication, n=34,","467 (GS, February 2022)",34
Cognitive Psychology,Mental simulation - mismatch advantage: object colour,Mental simulation (mismatch advantage: object colour)**. Readers verify pictures more quickly when they match rather than mismatch the object colour from the preceding sentence,de Koning et al. 2017,https://www.tandfonline.com/doi/full/10.1080/20445911.2017.1281283,10.1080/20445911.2017.1281283,"n = 139,","14 (GS, November,  2022)",139
Cognitive Psychology,Mental simulation - mismatch advantage: object colour,Mental simulation (mismatch advantage: object colour)**. Readers verify pictures more quickly when they match rather than mismatch the object colour from the preceding sentence,Mannaert et al. 2017,"https://link.springer.com/article/10.3758/s13421-017-0708-1)Experiment 1: n= 205, citations= 33(GS, November 2022)]. [Zwaan and Pecher 2012](https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0051382","10.3758/s13421-017-0708-1)Experiment 1: n= 205, citations= 33(GS, November 2022)]. [Zwaan and Pecher 2012](https:","Experiment 3a: n =  152, Experiment 3b: n = 152.","192 (GS, November 2022)",152 & 152.
Cognitive Psychology,Mental simulation - match advantage object orientation,Readers verify pictures more quickly when they match rather than mismatch the object orientation from the preceding sentence,de Koning et al. 2017,https://www.tandfonline.com/doi/full/10.1080/20445911.2017.1281283,10.1080/20445911.2017.1281283,"n = 160,","14 (GS, November,  2022)",160
Cognitive Psychology,Mental simulation - match advantage object orientation,Readers verify pictures more quickly when they match rather than mismatch the object orientation from the preceding sentence,Rommers et al. 2013,https://journals.sagepub.com/doi/10.1177/0956797613490746,10.1177/0956797613490746,"Experiment 1: n = 52, Experiment 2: n =  44, Experiment 3: n = 88,","48 (GS, November 2022)",52 & 44 & 88
Cognitive Psychology,Mental simulation - match advantage object orientation,Readers verify pictures more quickly when they match rather than mismatch the object orientation from the preceding sentence,Zwaan and Pecher 2012,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0051382,10.1371/journal.pone.0051382,"Experiment 1a: n=176; Experiment 1b: n=176,","192 (GS, November 2022)",176 & 176
Cognitive Psychology,Mental simulation - match advantage object distance,"Readers verify small pictures more quickly when they are far from the protagonist, in contrast to big pictures, while big pictures are verified more quickly when closer to the protagonist, as opposed to smaller pictures",Vukovic and Williams 2014,https://www.sciencedirect.com/science/article/pii/S0001691813002503?via%3Dihub#s0010,,"n=20,","36 (GS, November 2022)",20
Cognitive Psychology,Mental simulation - match advantage object number,Verification response was faster for concept-object match when there was numerical congruence (compared with incongruence) between the number word and quantity,Beg et al. 2021,"https://link.springer.com/article/10.1007/s00426-019-01265-4)Experiment 1: n = 63, Experiment 2: n = 68, Experiment 3: n =42, citation = 5(GS, November 2022)]​. [Patson et al. 2016](https://web.s.ebscohost.com/ehost/pdfviewer/pdfviewer?vid=0&sid=115602f4-e12b-4bbd-bfbc-6cb1a5b6cb71%40redis","10.1007/s00426-019-01265-4)Experiment 1: n = 63, Experiment 2: n = 68, Experiment 3: n =42, citation = 5(GS, November 2022)]​. [Patson et al. 2016](https:","Experiment 1: n = 63, Experiment 2: n = 63,","11 (GS, November 2022)",63 & 63
Cognitive Psychology,Mental simulation - match advantage object number,Verification response was faster for concept-object match when there was numerical congruence (compared with incongruence) between the number word and quantity,Patson 2021,https://link.springer.com/article/10.3758/s13421-020-01121-6#Sec1,10.3758/s13421-020-01121-6#Sec1,"Experiment 1: n = 62, Experiment 2: n = 83,","1 (GS, November 2022)",62 & 83
Cognitive Psychology,Mental simulation - match advantage object number,Verification response was faster for concept-object match when there was numerical congruence (compared with incongruence) between the number word and quantity,Šetić and Domijan 2017,"https://econtent.hogrefe.com/doi/full/10.1027/1618-3169/a000358?rfr_dat=cr_pub++0pubmed&url_ver=Z39.88-2003&rfr_id=ori%3Arid%3Acrossref.org)Experiment 1: n = 48, Experiment 2: n = 33, citation = 10(GS, November 2022",10.1027/1618-3169,.,,
Cognitive Psychology,Mental simulation - match advantage object shape,Readers verify pictures more quickly when they match rather than mismatch the object shape from the preceding sentence,de Koning et al. 2017,https://www.tandfonline.com/doi/full/10.1080/20445911.2017.1281283,10.1080/20445911.2017.1281283,"n = 160,","14 (GS, November,  2022)",160
Cognitive Psychology,Mental simulation - match advantage object shape,Readers verify pictures more quickly when they match rather than mismatch the object shape from the preceding sentence,Ostarek et al. 2019,https://www.sciencedirect.com/science/article/abs/pii/S0010027718302233?casa_token=t2Q0V5TUuKMAAAAA:uhP7evMX0p7xHEDdY44rT3cYHMv-aXnkQ8UlEaOdWOh4iGtNG79iXvVSB-VUDb_YRZpmBivMgA,,"n1=115, n2=114,n3=112, n4=115,","21 (GS, November 2022)",
Cognitive Psychology,Mental simulation - match advantage object shape,Readers verify pictures more quickly when they match rather than mismatch the object shape from the preceding sentence,Rommers et al. 2013,https://journals.sagepub.com/doi/10.1177/0956797613490746,10.1177/0956797613490746,"study 1: n = 52, study 2: n =  44; study 3: n = 88,","48 (GS, November 2022)",52 & 44 & 88
Cognitive Psychology,Mental simulation - match advantage object shape,Readers verify pictures more quickly when they match rather than mismatch the object shape from the preceding sentence,Zwaan and Pecher 2012,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0051382,10.1371/journal.pone.0051382,"experiment 2a n= 176, experiment 2b n=176,","192 (GS, November 2022)",176 & 176
Cognitive Psychology,Mental simulation - match advantage object size,"Readers verify small imagined pictures more quickly when they are small real pictures, in contrast to big real pictures, while big imagined pictures are verified more quickly when they are big real pictures, as opposed to big imagined pictures.​",de Koning et al. 2017,https://www.tandfonline.com/doi/full/10.1080/20445911.2017.1281283,10.1080/20445911.2017.1281283,"n = 140,","14 (GS, November,  2022)",140
Cognitive Psychology,Mental simulation - bigger is better effect,Items that are big in real size are processed more quickly than items that are small in real size. ​,Kang et al. 2011,https://journals.sagepub.com/doi/full/10.1080/17470218.2011.575947?casa_token=LD4xDk-wG40AAAAA%3AAuEFUE2djuHdm3hjchGbIU5gGdrz-HmKdSsHIUbq2LNL6Rqml6GSYkcccHmjuS-HSgG7U3xIB068,10.1080/17470218.2011.575947?casa_token=LD4xDk-wG40AAAAA:AuEFUE2djuHdm3hjchGbIU5gGdrz-HmKdSsHIUbq2LNL6Rqml6GSYkcccHmjuS-HSgG7U3xIB068,"n=80,","23 (GS, November 2022)",80
Cognitive Psychology,Mental simulation - bigger is better effect,Items that are big in real size are processed more quickly than items that are small in real size. ​,Wei and Cook 2016,https://www.tandfonline.com/doi/pdf/10.1080/0163853X.2016.1175899?casa_token=qYfzf3yOeJkAAAAA:XVA3JCJTQOMPZoxYHeK4Op49-FhnJnypvtQXhfvEeHTvQ3-D_N5EIUDIaPaz_B_Kv_G_yLP-bkLh,10.1080/0163853X.2016.1175899?casa_token=qYfzf3yOeJkAAAAA:XVA3JCJTQOMPZoxYHeK4Op49-FhnJnypvtQXhfvEeHTvQ3-D_N5EIUDIaPaz_B_Kv_G_yLP-bkLh,"n =42,","7 (GS, November, 2022)",42
