Discipline,Effect,Description,Original effect size
Judgement and Decision Making/Behavioural Economics,Below-Average Effect,The tendency of a person to underestimate their intellectual or social abilities when comparing to other people,"Study 1: participants thought they were above average (i.e., above the 50th percentile) in the easy ability domains, but below average in difficult domain (all ps &lt; .01); Easy domain percentile estimates - Using mouse = 58.8, Driving = 65.4, Riding bicycle = 64, Saving money = 61.5; Difficult domain - Telling jokes = 46.4 (n.s.), Playing chess = 27.8, Juggling = 26.5, Computer programming = 24.8; Study 2: beta coefficient= .90; Study 3: participants thought that they were above average in terms of the easy abilities (M percentile = 78.4), and below average in terms of the difficult abilities (M percentile = 23.1)."
Judgement and Decision Making/Behavioural Economics,Overconfidence,"“unskilled and unaware of it” effect, overplacement, overprecision, calibration of subjective probabilities, realism of confidence). It is the overestimation of one’s actual ability, performance, level of control, or chance of success in any given situation","​proportions over/-underconfidence: Experiment 1a – +.15; Experiment 1b – +.18, Experiment 2 – training (+.07), no training (+.14); Experiment 3 – best subjects (+.05), middle subjects (+.07), worst subjects (+.15), best subjects-easy items (-.05), best subjects-hard items (+.14), middle subjects-easy items (-.05), middle subjects-hard items (+.19), worst subjects-easy items (+.03), worst subjects-hard items (+.25); Experiment 4 - best subjects-easy items (-.06), best subjects-hard items (+.05), worst subjects-easy items (-.03), worst subjects-hard items (+.17); Experiment 5 – Easy test (-.02), Hard test (+.12).​."
Judgement and Decision Making/Behavioural Economics,Better-than-average effect,People tend to rate themselves as better than average on desirable traits and skills.​,Hedges’s g = 0.41 to Hedges’s g = 1.25 (calculated from statistics reported in original paper). 
Judgement and Decision Making/Behavioural Economics,Accuracy of information,truth discernment)**. **Asking people to think about the accuracy of a single headline improves “truth discernment” of intentions to share news headlines about COVID-19.​,"Study 1: d = 0.657 [0.477, 0.836] on accuracy judgement; d = 0.121 [0.030, 0.212] on sharing intention; Study 2: control condition: d = 0.050 [−0.033, 0.133]; treatment condition: d = 0.142 [0.049, 0.235]."
Judgement and Decision Making/Behavioural Economics,Resultant moral luck,The phenomenon of moral judgments being influenced by factors beyond the agent’s control that affect the outcome of their actions. Kneer and Machery (2019) claim that there is no evidence for resultant moral luck and that the puzzle of moral luck is not a genuine problem.​,"Between-subjects Design (1a): Wrongness: d=0.44 [0.16, 0.72], Blame: d=0.39 [0.17, 0.58], Permissibility: d=0.26 [-0.02, 0.55], Punishment: d=0.79 [0.50, 1.08]; Within-subjects Design (1b): Wrongness: d=0.16 [0.004, 0.27], Blame: d=0.24 [0.09, 0.38], Permissibility: d=0.06 [-0.02, 0.14], Punishment: d=0.47 [0.30, 0.64]; Within paper replications."
Judgement and Decision Making/Behavioural Economics,Incidental disgust,Amplification hypothesis). Irrelevant feelings of disgust can amplify the severity of moral condemnation,"Study 1 – participants rated vignettes as being more morally wrong when the hypnotic disgust word was present than when the word was absent r=34 [d=0.53, reported in[ Landy and Goodwin 2015](https://pubmed.ncbi.nlm.nih.gov/26177951/)]; Study 2 - r =.36 [d=0.25, reported in[ Landy and Goodwin 2015](https://pubmed.ncbi.nlm.nih.gov/26177951/)]​."
Judgement and Decision Making/Behavioural Economics,Single exposure musical conditioning,"Single-exposure musical conditioning**. An important study, which employed classical conditioning theory, proposed that a person's preference for a product can be influenced by the type of music they hear while being exposed to it. A follow-up experiment differentiated between scenarios to see whether classical conditioning or information processing might be a better explanation for product preference",
Judgement and Decision Making/Behavioural Economics,Rational expectations,Rational Expectations. **The extent to which participants in an experiment choose the action with the highest expected payoff based on their private signal and the choices and outcomes of previous participants,"When the expected payoffs from contradicting one’s signal is higher than 1/2 (where it is empirically optimal for the participants to contradict their own private information), the respondents choose this action (among two alternatives) in less than half of the cases; the frequency of the optimal choice is 0.44; when the expected payoffs is lower than 1/2, the participants follow the signal nine out of ten times; they make the optimal choice with a frequency of 0.91."
Judgement and Decision Making/Behavioural Economics,Decreased sense of free will reduces personal responsibility,"Vohs and Schooler (2008) asked participants to read an article either debunking free will or a control passage, and found that those reading the former cheated more on an experimental task. It was suggested that the decreased sense of free will as a result of reading the text reduced perceptions of personal responsibility",d=.88.
Judgement and Decision Making/Behavioural Economics,Unrealistic optimism,Optimism bias). The tendency to overestimate the likelihood of experiencing positive outcomes and underestimating negative ones.​,"Overestimating positive outcomes: d = 0.43 [0.30, 0.55] (estimated from test-statistic: t(255) = 6.8, p &lt; .001); Underestimating negative outcomes: d = 0.87 [0.73, 1.01] (estimated from test-statistic: t(255) = 13.9, p &lt; .001)."
Judgement and Decision Making/Behavioural Economics,Miles per gallon illusion,"MPG illusion, kilometres per litres illusion)**. **People misperceive how much fuel and money will be saved by, because they assume fuel use increases linearly with MPG, whereas in reality, increasing by a few MPG saves much more gas at low levels of MPG (e.g., 12 to 14 MPG) compared to high levels (e.g., 30 to 32 MPG",OR = 5.27.
Judgement and Decision Making/Behavioural Economics,Certainty effect,The tendency to overweight the importance of an increase from 99% to 100% probability that some prospect/event will occur,Log OR = -1.36 (for the 1st certainty effect demonstration; item 1 vs. 2 contrast).
Judgement and Decision Making/Behavioural Economics,Overweighting small probabilities,"People tend to overweight/overreact to changes in probability from 0 to very small probabilities. (In other words, whereas classical economic theory would suggest changing from 0% to 1% chance should have the same impact as a change from a 20% to 21% chance, people respond much more strongly to the former change",Log OR= -1.23.
Judgement and Decision Making/Behavioural Economics,Positive affect increases patience,Watching a positive affect-inducing video will increase patience in an intertemporal choice task,unstandardized b = 2.997.
Judgement and Decision Making/Behavioural Economics,"Slow to anger, fast to forgive","Adding noise/uncertainty to the reason for a person’s action leads people to be more lenient (slow to anger, quick to forgive). A secondary finding is that under these circumstances with noise/uncertainty, cooperative strategies also lead to higher payoffs (in situations with cooperative equilibria",b = -.627.
Judgement and Decision Making/Behavioural Economics,Isolation effect,"Von Restorff effect). The isolation effect occurs when people focus on differences between options rather than similarities. We not only remember the differences between two stimuli, but we also tend to give it greater weighting. For example, we notice the one single yellow that stands out in a batch of red apples","log OR = 1.897 [reported in[ Ruggeri et al. 2020](https://www.nature.com/articles/s41562-020-0886-x), data available at https://osf.io/esxc4/]."
