Discipline,Effect,Description,Replication effect size
Parapsychology,Precognition,Undergraduates improve memory test performance by studying after the test,"All effect sizes are reported in Ritchie et al.: Replication 1: _d_ = 0.30, Replication 2: _d_ = -0.39, combined: _d_ = 0.04 (converted using [this](https://www.escal.site/))."
Evolutionary Psychology,Fertility facial-preferences effect,Women prefer more masculine rather than feminised faces of potential partners during the fertile phase of their menstrual cycle. The preference for secondary sexual traits in male face shapes varies with the probability of conception,Harris: not reported​; _d_ = 0.29 (for Caucasian faces) and _d_ = 0.00 (for Japanese faces) [calculated for main effect of conception risk using [Lakens 2018](https://www.frontiersin.org/articles/10.3389/fpsyg.2013.00863/full)].
Evolutionary Psychology,Dunbar’s number,The number of neocortical neurons limits the organism's information-processing capacity and this then limits the number of relationships that an individual can monitor simultaneously. Humans are cognitively or emotionally limited to 150 relationships with other people,"Lindenfors et al.: human group size average of 69.2 individuals [3.8, 292.0]."
Evolutionary Psychology,Romantic priming,"Looking at attractive women increases men’s conspicuous consumption, time discount and risk-taking","Shanks et al.: _d_=0.00 [-0.12, 0.11]."
Evolutionary Psychology,Implicit analytic priming,Implicitly priming analytic thinking by seeing a photo of Auguste Rodin's The Thinker decreases belief in God,"Camerer et al.: Study 1 _r_=-0.055, Study 2 _r_=-0.035. Sanchez et al.: _d_=-0.25 to _d_=0.12. "
Evolutionary Psychology,Menstrual cycle version of the dual-mating-strategy,"Hypothesis that “heterosexual women show stronger preferences for uncommitted sexual relationships [with more masculine men] during the high-fertility ovulatory phase of the menstrual cycle, while preferring long-term relationships at other points”","Gildersleeve et al.: women’s preference for men with characteristics that reflected genetic quality ancestrally was approximately 0.15 of a standard deviation stronger at high fertility than at low fertility; weighted mean _g_ in a short-term context _g_ = 0.21, SE = 0.06, in an unspecified relationship context g = 0.16, SE = 0.05, and in a long-term context was near zero _g_ = 0.06, SE = 0.06, _p_ =.32; comparing the three contexts revealed that the weighted mean g was larger in a short-term context than in a long-term context, and this difference was statistically significant (p = .002). Jones et al.: NA.  Wood et al.: Preferences of fertile versus nonfertile women - Testosterone _g_= 0.11 [−0.20, 0.42], Masculinity  _g_=0.08 [−0.01, 0.16], Dominance  _g_=0.05 [−0.06, 0.16], Symmetry  _g_=0.22 [0.05, 0.39], Kindness  _g_=0.07 [−0.04, 0.18], Health  _g_=−0.19 [−0.29, –0.09]; Between-phase effect sizes across short term, long term, and no relationship contexts – Masculinity: Short term  _g_=0.09 [−0.07, 0.24], Long term _g_= 0.03 [−0.08, 0.13], No context  _g_=0.09 [−0.03, 0.20]; Dominance: Short term  _g_=0.02 [−0.14, 0.18], Long term  _g_=−0.01[−0.16, 0.14], No context  _g_=0.10 [−0.14, 0.34]; Symmetry: Short term  _g_=0.11 [−0.18, 0.40], Long term _g_=0.06 [−0.13, 0.25], No context_ g_= 0.32 [0.09, 0.55]; Kindness: Short term  _g_=0.11 [−0.07, 0.28], Long term  _g_=0.06 [−0.08, 0.20], No context _g_=−0.004 [−0.27, 0.26]; Health: Short term  _g_=−0.33 [−0.67, 0.02], Long term  _g_=0.00 [−0.20, 0.20], No context  _g_=−0.24 [−0.34, −0.13]."
Evolutionary Psychology,Menstrual cycle and lunar influence,Women with a 29.5+/-1 day menstrual cycle tend to menstruate during a full moon,Komada et al.: _z_ = −0.58.​
Evolutionary Psychology,Large parents have more sons,Bigger and taller parents have more sons,Denny: effects of father’s height on having male children not significant in three regression models _Z_ = 0.080 to _Z_ = 0.310; effects of mother’s height on having male children not significant in three regression models _Z_ = 0.010 to _Z_ = 0.230; effects of father’s BMI on having male children not significant in three regression models _Z_ = 0.320 to _Z_ = 0.400; effects of mother’s BMI on having male children not significant in three regression models _Z_ = 0.230 to _Z_ = 0.440.
Evolutionary Psychology,Men’s strength predicts opposition to egalitarianism,Men’s strength in particular predicts opposition to egalitarianism**. Muscular men are less likely to support social and economic equality,"Gelman and Loken:  not reported in but effect disappears once participant age is included. Petersen and Laustsen: They are very focussed on statistical significance instead of effect size. Overall male effect was _b_ = 0.17 and female effect was _b_ = 0.11, with a nonsignificant difference between the two (_p_ = 0.09). (They prefer to emphasise the lab studies over the online studies, which showed a stronger difference.) Interesting that strength or ""formidability"" has an effect in both genders, whether or not their main claim about gender difference holds up."
Evolutionary Psychology,Sex differences in mate preferences,"Men and women differ in preferences of a potential mate which reflects different evolutionary selection pressures. Across 33 countries (original study; 45 - replication) researchers found universal sex differences such as: men, more than women, prefer attractive, young mates, and  women, more than men, prefer older mates with financial prospects","Walter et al.: _b_ = -0.30 [Mate preferences were standardised across countries prior to analysis, so this and all _b_ values can be interpreted as equivalent to Cohen’s _d_s]."
Evolutionary Psychology,Men's preference for competition,"Men’s preference for competition**. Men are more likely to select tournaments than women, because women tend to avoid competition and men look for competition",Price: A female in the replication has a 22.4 percentage point higher probability (58.0% versus 35.6%) of entering into the tournament than a female in NV (original study) after controlling for task performance; probit regression coefficient for the NV*Female interaction term from -0.65 (non-significant) to -0.99 (significant) [not replicated].
Evolutionary Psychology,Orgasm gap,"Orgasm equality). There is a gendered orgasm gap, with men experiencing orgasm more frequently than women in heterosexual sexual encounters.​","Garcia et al.: Compared with women, men reported a significantly higher mean occurrence rate of orgasm frequency, _η2_ = 0.12. Mahar et al.: ES not reported; six covered studies all showed that males report more frequent orgasm than females."
Evolutionary Psychology,Precarious manhood,"Manhood, in contrast to womanhood, is seen as a precarious state requiring continual social proof and validation.​ Compared with womanhood, which is typically viewed as resulting from a natural, permanent, and biological developmental transition, manhood must be earned and maintained through publicly verifiable actions; because of this, men experience more anxiety over their gender status than women do, particularly when gender status is uncertain or challenged","Vendello et al.: Study 1a –preference for the manhood over the womanhood proverbs _d _= 0.53; Study 1b –precarious manhood statements truer than womanhood _d _=0.72; the transition to manhood more social than the transition to womanhood_ d _=0.60; Study 2 – ​ statement about losing manhood easier to interpret_ d _=0.57; interpretations of the manhood statement contained more social than physical reasons_ d _=0.86; social interpretation more strongly for the manhood version_ d _=0.92; Study 3 – producing offspring is more often a condition for manhood_ d _=0.57; Study 4 – men completed more anxiety-related words, _d _=0.48, and were less comfortable with the idea of others learning about their test score, _d _=0.60, under gender threat; Study 5 – men completed more physically aggressive words in the gender-threat condition, _d _=0.91. Weaver et al.: Study 1 – “real man” sentence completions contained more masculine and less feminine content than “real woman” completions, _d_s>.85; men completed more “real man” than “real woman” sentences with actions _d _=0.31; Study 2 – men who rated the man’s aggressive behavior more likely to interpret the behavior through a situational lens, _d _=0.46. Michniewicz et al.: not reported, but compared to women, men estimated greater loss of gender status when imagining or recalling a job loss. Vandello & Bosson: NA. Frederick et al.: Study 1 – threatened men reported they could lift more, _β_ = .23, and were not as dissatisfied with their muscularity, _β_ = −.44; Study 2 – in twelve of the fifteen analyses, the effects of the masculinity threat prime on curling capacity statistically significant, _β_ _=_ .13 to .46. Bosson et al.: associations of the precarious manhood with the four ambivalent gender ideology scales were all positive, _r_=.28 to .71."
Evolutionary Psychology,Trivers–Willard hypothesis,"The Trivers–Willard hypothesis predicts that parents in good condition will be biassed towards investing more in their sons, while parents in poor condition will invest more in their daughters; this investment involves both post-birth investment and manipulation of the sex ratio. As female reproductive success is less variable than male one, daughters are a safer bet for providing at least some progeny, but very successful sons can have many more children than daughters","For sex ratios: Thouzeau et al. (the meta-analysis concluded that both post-birt parental investment and sex ratio were consistent with the Trivers–Willard hypothesis but due to heterogeneity in methodology and the fact that investment studies usually report only interaction, which makes estimating size effects very challenging, they reported size effects only for studies concerning sex ratios, reported in Fig. S3): _r_ = 0.037 [0.0055, 0.0676]. Davis: _r_ = 0.17 [0.04, 0.30]. Marleau et al.: Experiment 1: _r _= 0.08 [–0.02, 0.18], Experiment 2: _r_ = 0.10 [0.00, 0.20], Experiment 3: _r_ = 0.05 [–0.05, 0.15], Experiment 4: _r_ = 0.06 [–0.04, 0.16], Experiment 5: _r_ = 0.04 [–0.06, 0.14]. Elis & Bonin: Experiment 1: _r_ = 0.00 [–0.02, 0.02], Experiment 2: _r_ = 0.00 [–0.02, 0.02], Experiment 3: _r_ = 0.00 [–0.02, 0.02], Experiment 4: _r_ = 0.00 [–0.02, 0.02], Experiment 5: _r_ = 0.00 [–0.02, 0.02], Experiment 6: _r_ = 0.01 [–0.01, 0.02]. Mathews et al.: Experiment 1: _r_ = 0.10 [0.02, 0.17], Experiment 2: _r_ = 0.08 [0.01, 0.16]. Ruckstuhl et al.: _r_ = 0.06 [0.02, 0.11]. Grech: Experiment 1: _r_ = 0.00 [0.00,0.00], Experiment 2: _r_ = 0.00 [0.00,0.00], Experiment 3: _r_ = 0.00 [0.00,0.00]. Kaňková et al.: Experiment 1: _r_ = 0.02 [0.00, 0.05], Experiment 2: _r_ = 0.04 [0.00, 0.07], Experiment 3: _r_ = 0.01 [–0.03, 0.05], Experiment 4: _r_ = 0.04 [0.01, 0.08], Experiment 5: _r_ = 0.06 [0.01, 0.10], Experiment 6: 0.03 [–0.03, 0.08]. For post-birth parental investment: not reported by Thouzeau, et al. 2023 due to issues mentioned above, but they did not find any signs of _p_-hacking in the analyzed studies; they also propose that size effects for parental investment will be probably even smaller than for sex ratios, as discussed in theoretical work by [Veller et al. 2016](https://royalsocietypublishing.org/doi/10.1098/rspb.2016.0126)."
Evolutionary Psychology,Birth order effect on sexuality,"Fraternal birth order effect on male homosexuality ** (older brother effect). Male homosexuals are more likely than male heterosexuals to have one or more older brothers. Biologically, that is thought to be due to the immunisation of the mother against Y-linked proteins during previous pregnancies with male foetuses, which decreases the activity of those proteins responsible for heterosexual male sexual orientation in subsequently-born sons","Blanchard: OR = 1.47 [1.33, 1.62]. Vilsmeier et al.: OR _= _1.323 [1.284, 1.377] for fixed effects and OR = 1.391 [1.297, 1.492] for random effects model – despite the effect sizes the study concluded that there is no evidence for older brother effect. OR mostly reported from Blanchard 2018: Ablaza et al.: OR = 1.222 (SE = 0.011). Apostolou: OR = 1.48 [1.10, 1.98]. Blanchard & Zucker: OR = 1.15 [0.90, 1.47]. Blanchard et al.: OR = 1.87 [1.28, 2.72]. Blanchard et al.: OR = 1.52 [1.13, 2.07]. Blanchard et al.: Subgroup 1: OR = 1.32 [0.97, 1.80], Subgroup 2: OR = 1.12 [0.81, 1.54], Subgroup 3: 1.44 [1.11, 1.87]. Bogaert: OR = 1.187 (calculated [using](https://www.socscistatistics.com/effectsize/default3.aspx) and [this](https://www.escal.site/)). Currin et al.: OR = 0.85 [0.62, 1.17]. Elis & Blanchard: OR = 1.29 [1.01, 1.64]. Gómez Jiménez et al.: OR = 1.45 [1.09, 1.93]. King et al.: OR = 1.30 [1.03, 1.64]. Kishida & Rahman: OR = 1.20 [1.05, 1.38]. Schwartz et al.: OR = 1.15 [1.00, 1.33]VanderLaan & Vassey: OR = 2.10 [1.68, 2.62]. Vasey & VanderLaan: 1.39 [1.07, 1.81]. Zucker & Blanchard: OR = 1.04 [0.61, 1.78]."
